,Polygon,Overpass
29,"['156.1312660443995,23.2442271954548', '154.7552778725216,23.52926826005037', '153.9232174028349,19.97746447737379', '153.1111488132927,16.42284616009428', '152.973649235235,15.81370710655785', '154.2857063266281,15.53211411478458', '155.593976953976,15.24282646123094', '155.7392365630248,15.85131114988901', '156.603690787999,19.40139545647064', '157.5010270073119,22.94730817749328', '156.1312660443995,23.2442271954548']",2020-04-08
30,"['-170.9417771341289,24.04501890613032', '-172.3262364438651,24.33060052029657', '-173.163619642056,20.77952715809883', '-173.9797111756137,17.22548450191792', '-174.0693700088661,16.8302401403059', '-172.7505979898957,16.54835678817243', '-171.4359005709179,16.2582484665924', '-171.3408730862855,16.6530350245552', '-170.4695871201213,20.2022548586228', '-169.563839938962,23.74710018892324', '-170.9417771341289,24.04501890613032']",2020-04-08
31,"['76.8248999294986,-25.96991426302521', '75.41298815050608,-25.66642201573074', '75.00245480121124,-27.17536748009574', '76.43343758352762,-27.48127762552642', '77.87248487354982,-27.77253324590804', '78.24422002749492,-26.25969354994344', '76.8248999294986,-25.96991426302521']",2020-04-09
32,"['-163.4753993682829,23.70074970911423', '-164.8561725321888,23.98609429131808', '-165.69122613408,20.4347024192208', '-166.498211675968,16.91276261009048', '-165.1788761571014,16.63085391937199', '-163.8636389918476,16.34067701508169', '-163.0031027118625,19.85795592442485', '-162.101020354153,23.40326606365428', '-163.4753993682829,23.70074970911423']",2020-04-09
33,"['-54.26450590789749,27.45894715519438', '-55.68945955563265,27.74729525497316', '-56.55337178219804,24.19974612102051', '-57.28295324398107,21.10813728869828', '-55.9303647285409,20.82450516757853', '-54.58316661946392,20.53035103549399', '-53.79373840364902,23.6165025553341', '-52.84745202348305,27.1562377533953', '-54.26450590789749,27.45894715519438']",2020-04-10
34,"['153.6103181577002,23.23026071898724', '152.2344750813636,23.51529265426519', '151.4025039742685,19.96347648001899', '150.5905024235915,16.40884846462329', '150.5012402559793,16.0135475801959', '151.8145749620651,15.73190136701391', '153.1240671993344,15.44245670388733', '153.2184074607043,15.83732891627908', '154.0827457582998,19.38742790250058', '154.9799390845827,22.93335880216744', '153.6103181577002,23.23026071898724']",2020-04-11
35,"['-173.4722055229213,23.99334106332843', '-174.8561089497965,24.2788867557871', '-175.6931396047563,20.7277652284644', '-176.5089558219379,17.17368396809335', '-176.5501312224519,16.9922409374273', '-175.2302432274504,16.71030706098491', '-173.914476520409,16.4200631978247', '-173.8708296592153,16.6012953253917', '-172.9999971852158,20.15057232463499', '-172.0948048879502,23.69548802469997', '-173.4722055229213,23.99334106332843']",2020-04-11
36,"['161.0822232912517,22.9051741643225', '159.709712809181,23.18999769619287', '158.8798115832734,19.63789534185811', '158.0693604822856,16.08304389840571', '158.0284202931044,15.90156685892506', '159.3410386885471,15.61995053746431', '160.6498460339901,15.33059392420286', '160.6930749598583,15.51187826746802', '161.5547371417054,19.06231527561344', '162.448628581975,22.60866549950236', '161.0822232912517,22.9051741643225']",2020-04-12
37,"['-23.34824313406564,-13.31893462481009', '-24.65038649586506,-13.02976884043489', '-25.00813566814151,-14.54683838120921', '-23.69700506458245,-14.83726466119005', '-22.38224145953724,-15.12027688953081', '-22.04288366566173,-13.60148005156595', '-23.34824313406564,-13.31893462481009']",2020-04-12
38,"['-65.34250241988653,23.50443727761802', '-66.72120083799371,23.78964966452817', '-66.97984098141642,22.69907254181234', '-65.61224045943173,22.41455152444686', '-64.25057143959587,22.11862260348411', '-63.97012598265781,23.20719837013687', '-65.34250241988653,23.50443727761802']",2020-04-12
39,"['-165.9447173706247,23.89358689692599', '-167.3275486682818,24.17906348426655', '-168.1639040744176,20.62784945776822', '-168.9792091890807,17.07369507164217', '-169.0203449468952,16.89224774616974', '-167.7011503663425,16.61034542353269', '-166.3860482287747,16.32018564848259', '-166.3424452134688,16.50142274660588', '-165.4724788492095,20.05080950755446', '-164.5683516787102,23.59586040605922', '-165.9447173706247,23.89358689692599']",2020-04-12
40,"['-56.77850429745715,27.47227797735724', '-58.2036308659653,27.76063846452684', '-59.06765888756929,24.21310437842376', '-59.69761179999773,21.54871829906887', '-58.3410012529226,21.26485365065968', '-56.98992777416732,20.97022351002206', '-56.30774360913903,23.62983464919811', '-55.36128330113255,27.16954804963524', '-56.77850429745715,27.47227797735724']",2020-04-13
41,"['-38.03496532192851,-52.82876724648175', '-40.11435809016763,-52.43259373458334', '-41.167732544835,-54.30655914684153', '-38.99939005030208,-54.7165170112613', '-36.78824710006006,-55.08712007662208', '-35.91848153370077,-53.18805940380364', '-38.03496532192851,-52.82876724648175']",2020-03-26
42,"['33.15842408352895,81.18994034548966', '30.65544498140644,82.44830798880268', '8.774672253591797,80.75773107716118', '1.662511656155635,79.68732158004175', '6.383743961555038,78.72349348582128', '10.34776428571837,77.69719632695325', '16.95538611255386,78.58732903908287', '35.03691355596003,79.9195436761437', '33.15842408352895,81.18994034548966']",2020-03-26
43,"['-17.12936323338575,71.04281932294799', '-20.77936810304481,71.62752902150794', '-24.90056925099662,68.3246031236758', '-28.04435700619337,64.95440635052758', '-28.58943992454989,64.27328561476999', '-25.78930283589523,63.82564404718281', '-23.08262803168082,63.32574455110965', '-22.41953888848931,63.98751807215665', '-18.61327187467757,67.24286924361738', '-13.70262554650146,70.39113957849332', '-17.12936323338575,71.04281932294799']",2020-03-26
44,"['-47.90531949019589,0.7593765788175821', '-49.17030876339647,1.041206305324638', '-49.95562786202785,-2.517026499927996', '-50.74909765313088,-6.073773708617794', '-51.55499481494992,-9.628323281308946', '-52.37791555898454,-13.17994261541767', '-53.2229253710692,-16.72787221114261', '-54.09574178183456,-20.27131563128578', '-55.00296099518388,-23.80942497877155', '-55.95234783398665,-27.34128006632415', '-56.95321654427328,-30.86585870565344', '-58.01694261009051,-34.38199437066096', '-59.15766556635587,-37.88831562108618', '-59.63435721597621,-39.2734600670557', '-57.98766983689399,-39.60741996584041', '-56.32515742502349,-39.91799186787842', '-55.91252207111091,-38.52558280902896', '-54.91625927156149,-35.00330868478274', '-53.97509635728652,-31.4741312100243', '-53.07786682764456,-27.93889563647833', '-52.21553620606276,-24.39835847076289', '-51.38063394674069,-20.85322159907265', '-50.56684122951275,-17.30415566883291', '-49.768683789191,-13.75181611307859', '-48.98129612186683,-10.19685408837241', '-48.20023410247988,-6.63992391501716', '-47.42131973412592,-3.081688189295048', '-46.64050300038649,0.4771785341878235', '-47.90531949019589,0.7593765788175821']",2020-03-26
45,"['-61.824910933639,-49.8402534951395', '-63.78028771741939,-49.46274000152236', '-65.04102156279571,-51.96808653737618', '-62.98232024232357,-52.36110078551142', '-60.88778152883284,-52.71781973993596', '-59.83956027252579,-50.18446718338483', '-61.824910933639,-49.8402534951395']",2020-03-26
46,"['-63.90364808581067,-54.20212682017956', '-66.04686079803722,-53.79609725652221', '-67.68512669961214,-56.48090724825222', '-65.40146404055655,-56.90923766217117', '-63.06676393804929,-57.29510723012246', '-61.71930229780288,-54.56949308358171', '-63.90364808581067,-54.20212682017956']",2020-03-26
47,"['11.04697838167627,81.29841255937809', '9.011271131365216,82.57457453641757', '-13.98974728103431,81.04482051772521', '-28.88435472565852,78.58509029655653', '-38.29857052148171,75.66575968813005', '-44.5866277505249,72.51476841271952', '-49.06378766037891,69.23645814668701', '-52.43360056861721,65.8818088130718', '-55.08817985973313,62.47783866922657', '-55.316930994743,62.14589158943233', '-52.69492366019921,61.72328750414159', '-50.14862064319826,61.25217608928877', '-49.8698867330051,61.57632666541809', '-46.63990086469533,64.88668692328889', '-42.57282122309503,68.11697810891944', '-37.27470233685966,71.22698570214691', '-30.1165365643475,74.1469750947694', '-20.12827212867461,76.75193169028449', '-6.076516656906209,78.82054254788189', '12.56360134434695,80.01459260610716', '11.04697838167627,81.29841255937809']",2020-03-26
